% function evaluation | noise-free fitness - Fopt (1.491500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
309 +2.962204589e+03 +2.962204589e+03 +3.060824589e+03 +3.060824589e+03 -1.5967e+00 -2.0180e+00 +1.9494e+00 -4.2753e+00 -2.8623e-01 -5.3514e-01 -1.2592e+00 -2.5645e+00 -2.3306e+00 +2.1269e-01 -5.6752e-01 -1.5692e+00 +1.4821e+00 -3.3135e+00 -3.5670e+00 -2.8573e+00 +3.0749e-01 +1.2610e+00 +8.4100e-01 -3.5062e+00
353 +2.096815850e+03 +2.096815850e+03 +2.195435850e+03 +2.195435850e+03 -1.2088e+00 -1.3671e+00 +1.3414e+00 -4.2813e+00 +3.6852e-01 +5.6978e-01 -2.0913e+00 -2.3277e+00 -2.7644e+00 -1.8843e-01 +7.8824e-01 -1.3431e+00 +2.8091e-01 -2.4684e+00 -2.8636e+00 -3.4015e+00 -5.7191e-01 +5.8214e-01 +7.8845e-01 -1.7246e+00
379 +1.349603592e+03 +1.349603592e+03 +1.448223592e+03 +1.448223592e+03 -1.7536e+00 -1.4762e+00 +1.1303e+00 -4.1451e+00 +6.6180e-01 +8.0470e-01 -1.8810e+00 -3.0919e+00 -3.0936e+00 -3.4103e-01 +5.1195e-01 -1.8702e+00 +1.5783e+00 -3.0252e+00 -4.0061e+00 -4.3480e+00 +1.6762e+00 +5.4633e-01 +8.1552e-01 -1.2615e+00
405 +9.628063331e+02 +9.628063331e+02 +1.061426333e+03 +1.061426333e+03 -9.7476e-01 -1.7968e+00 +8.0224e-01 -4.3526e+00 -9.3837e-02 -2.8693e-02 -1.9888e+00 -3.0326e+00 -3.5525e+00 -8.8531e-01 -3.2999e-01 -2.0254e+00 +4.7336e-01 -3.7008e+00 -3.6448e+00 -3.8489e+00 +5.0768e-01 +1.1986e+00 +7.2085e-01 -1.2495e-01
454 +5.314276016e+02 +5.314276016e+02 +6.300476016e+02 +6.300476016e+02 -1.9006e+00 -1.8309e+00 +1.1960e+00 -3.9238e+00 +1.3590e-01 -7.9563e-02 -1.3487e+00 -3.5457e+00 -2.8584e+00 -1.4093e-01 +5.4710e-01 -2.4092e+00 +6.4422e-01 -3.1941e+00 -3.2010e+00 -2.7820e+00 +1.0130e+00 +4.6205e-01 +1.0304e+00 -1.3146e-01
459 +2.837341454e+02 +2.837341454e+02 +3.823541454e+02 +3.823541454e+02 -2.2552e+00 -1.9584e+00 +1.5385e+00 -3.3240e+00 +1.1933e-01 +8.2041e-01 -2.4389e+00 -3.3620e+00 -2.9394e+00 -7.7205e-01 +4.0113e-01 -2.4397e+00 +1.1692e+00 -3.5633e+00 -3.4238e+00 -3.1070e+00 +7.5354e-01 +4.5254e-01 +1.3711e+00 +2.3848e-01
536 +1.305520285e+02 +1.305520285e+02 +2.291720285e+02 +2.291720285e+02 -2.2469e+00 -2.1390e+00 +1.2700e+00 -2.8253e+00 -3.4205e-02 +5.8185e-01 -2.4604e+00 -3.9170e+00 -3.5554e+00 -8.0833e-01 +3.9332e-01 -2.7301e+00 -1.3043e-01 -4.1671e+00 -3.5467e+00 -3.2845e+00 +4.5833e-01 +8.5672e-01 +9.7221e-01 -6.3269e-01
743 +8.349078000e+01 +8.349078000e+01 +1.821107800e+02 +1.821107800e+02 -2.1593e+00 -2.0642e+00 +1.1486e+00 -3.0187e+00 +2.1283e-01 +7.8958e-01 -2.4317e+00 -3.8506e+00 -3.6076e+00 -1.1955e+00 +8.6191e-01 -2.5704e+00 +3.7949e-01 -3.8738e+00 -3.3564e+00 -3.2736e+00 +6.0541e-01 +5.8118e-01 +9.1162e-01 -6.6977e-01
806 +5.925358741e+01 +5.925358741e+01 +1.578735874e+02 +1.578735874e+02 -1.7771e+00 -2.1462e+00 +1.4557e+00 -2.9934e+00 +4.0683e-01 +9.5916e-01 -2.4119e+00 -3.5448e+00 -3.6338e+00 -1.1683e+00 +4.9542e-01 -2.3869e+00 +2.4717e-01 -4.1010e+00 -3.5369e+00 -3.0407e+00 +6.6734e-01 +7.0390e-01 +1.2129e+00 -4.7819e-01
819 +3.472194087e+01 +3.472194087e+01 +1.333419409e+02 +1.333419409e+02 -1.8366e+00 -2.1747e+00 +1.5089e+00 -2.9953e+00 -1.8917e-02 +9.0704e-01 -2.1849e+00 -3.7014e+00 -3.6428e+00 -1.0688e+00 +7.0402e-01 -2.5596e+00 +7.7385e-02 -4.0819e+00 -3.6024e+00 -2.9887e+00 +7.3660e-01 +6.1000e-01 +1.1721e+00 -4.3913e-01
